Trade date,Price hub,High price,Low price,PRCP
2025-01-03,Indiana Hub RT Peak,58.0,53.5,0.0
2025-01-08,Indiana Hub RT Peak,47.6,47.6,0.0
2025-01-09,Indiana Hub RT Peak,44.9,42.5,0.0
2025-01-13,Indiana Hub RT Peak,56.5,56.5,0.0
2025-01-17,Indiana Hub RT Peak,140.0,125.0,0.0
2025-01-20,Indiana Hub RT Peak,150.0,150.0,0.0
2025-01-21,Indiana Hub RT Peak,100.0,100.0,0.0
2025-02-06,Indiana Hub RT Peak,44.75,43.3,0.06
2025-02-11,Indiana Hub RT Peak,50.0,50.0,0.0
2025-02-13,Indiana Hub RT Peak,45.0,45.0,0.0
2025-02-20,Indiana Hub RT Peak,82.0,80.0,0.0
2025-03-13,Indiana Hub RT Peak,40.5,40.5,0.0
2025-04-07,Indiana Hub RT Peak,53.75,53.75,0.0
2025-05-13,Indiana Hub RT Peak,50.0,50.0,0.44
2025-06-13,Indiana Hub RT Peak,43.75,43.75,0.21
2025-06-17,Indiana Hub RT Peak,49.0,48.0,0.09
2025-06-20,Indiana Hub RT Peak,147.0,144.0,0.0
2025-06-23,Indiana Hub RT Peak,190.0,180.0,0.0
2025-06-26,Indiana Hub RT Peak,72.0,70.0,0.0
2025-06-30,Indiana Hub RT Peak,62.0,60.0,0.01
2025-07-08,Indiana Hub RT Peak,64.0,64.0,0.0
2025-07-10,Indiana Hub RT Peak,62.8,62.8,0.0
2025-07-16,Indiana Hub RT Peak,73.0,73.0,0.12
2025-07-22,Indiana Hub RT Peak,77.5,77.5,0.0
2025-07-28,Indiana Hub RT Peak,180.0,174.45,0.46
2025-07-29,Indiana Hub RT Peak,112.0,105.0,0.0
2025-08-04,Indiana Hub RT Peak,50.0,50.0,0.0
2025-08-05,Indiana Hub RT Peak,58.0,56.75,0.27
2025-08-07,Indiana Hub RT Peak,56.75,54.0,0.0
2025-08-12,Indiana Hub RT Peak,65.0,65.0,0.15
2025-08-13,Indiana Hub RT Peak,57.5,56.95,0.0
2025-08-14,Indiana Hub RT Peak,71.75,71.75,0.0
2025-08-15,Indiana Hub RT Peak,90.0,90.0,0.0
2025-08-18,Indiana Hub RT Peak,65.75,64.25,0.31
2025-09-16,Indiana Hub RT Peak,55.0,55.0,0.0
2025-09-18,Indiana Hub RT Peak,52.0,50.0,0.0
2025-09-24,Indiana Hub RT Peak,56.25,56.25,0.13
2025-09-25,Indiana Hub RT Peak,54.6,53.0,0.48
2025-09-26,Indiana Hub RT Peak,83.5,83.5,0.0
2025-10-14,Indiana Hub RT Peak,54.75,54.75,0.0
2025-10-22,Indiana Hub RT Peak,48.75,48.25,0.0
2025-10-27,Indiana Hub RT Peak,43.65,43.65,0.0
2025-11-17,Indiana Hub RT Peak,59.65,59.65,0.0
2025-11-21,Indiana Hub RT Peak,52.75,52.75,0.35
2025-12-03,Indiana Hub RT Peak,73.0,73.0,0.0
2025-01-02,Palo Verde Peak,31.0,28.0,0.0
2025-01-03,Palo Verde Peak,41.0,32.0,0.0
2025-01-06,Palo Verde Peak,46.0,42.0,0.0
2025-01-07,Palo Verde Peak,39.0,35.0,0.0
2025-01-08,Palo Verde Peak,39.0,36.0,0.0
2025-01-09,Palo Verde Peak,29.0,25.0,0.0
2025-01-10,Palo Verde Peak,44.0,42.0,0.0
2025-01-13,Palo Verde Peak,50.0,48.0,0.0
2025-01-14,Palo Verde Peak,50.0,42.0,0.0
2025-01-15,Palo Verde Peak,34.25,32.0,0.0
2025-01-16,Palo Verde Peak,80.0,74.0,0.0
2025-01-17,Palo Verde Peak,95.0,73.0,0.0
2025-01-21,Palo Verde Peak,52.0,49.0,0.0
2025-01-22,Palo Verde Peak,45.5,42.0,0.0
2025-01-23,Palo Verde Peak,44.0,41.0,0.0
2025-01-24,Palo Verde Peak,46.0,46.0,0.0
2025-01-27,Palo Verde Peak,55.0,48.0,0.0
2025-01-28,Palo Verde Peak,55.0,51.5,0.0
2025-01-29,Palo Verde Peak,40.0,35.0,0.01
2025-01-30,Palo Verde Peak,30.0,24.0,0.0
2025-01-31,Palo Verde Peak,41.0,34.0,0.0
2025-02-03,Palo Verde Peak,37.0,31.0,0.0
2025-02-04,Palo Verde Peak,30.0,24.5,0.0
2025-02-05,Palo Verde Peak,35.0,26.0,0.0
2025-02-06,Palo Verde Peak,24.0,18.0,0.0
2025-02-07,Palo Verde Peak,31.5,29.0,0.0
2025-02-10,Palo Verde Peak,32.0,29.0,0.0
2025-02-11,Palo Verde Peak,46.0,44.0,0.0
2025-02-12,Palo Verde Peak,39.0,35.0,0.0
2025-02-13,Palo Verde Peak,33.0,28.0,0.0
2025-02-14,Palo Verde Peak,35.0,31.0,0.02
2025-02-18,Palo Verde Peak,42.0,34.0,0.0
2025-02-19,Palo Verde Peak,39.0,36.0,0.0
2025-02-20,Palo Verde Peak,25.0,22.0,0.0
2025-02-21,Palo Verde Peak,20.0,17.0,0.0
2025-02-24,Palo Verde Peak,18.5,16.0,0.0
2025-02-25,Palo Verde Peak,28.0,22.0,0.0
2025-02-26,Palo Verde Peak,22.0,18.75,0.0
2025-02-27,Palo Verde Peak,17.0,15.0,0.0
2025-02-28,Palo Verde Peak,24.0,23.0,0.0
2025-03-03,Palo Verde Peak,31.0,28.0,0.0
2025-03-04,Palo Verde Peak,57.0,48.0,0.0
2025-03-05,Palo Verde Peak,40.25,38.0,0.0
2025-03-06,Palo Verde Peak,29.75,25.0,0.0
2025-03-07,Palo Verde Peak,33.0,30.0,0.39
2025-03-10,Palo Verde Peak,44.0,37.0,0.0
2025-03-11,Palo Verde Peak,45.0,37.0,0.12
2025-03-12,Palo Verde Peak,30.0,28.0,0.07
2025-03-13,Palo Verde Peak,19.0,18.0,0.16
2025-03-14,Palo Verde Peak,25.5,22.5,0.01
2025-03-17,Palo Verde Peak,17.0,12.0,0.0
2025-03-18,Palo Verde Peak,18.0,18.0,0.0
